src0 233.31  9.13  1.04  2.04  2.58  1656.3  20  2e5  3.84
src1 169.96  37.44  1.15  1.81  2.28  2205.7  20  2e5  3.29
src2 271.77  31.28  0.99  2.01  2.78  2147.2  20  2e5  1.16
src3 78.66  4.22  1.04  2.01  2.62  1808.4  20  2e5  2.78
src4 326.36  -7.26  1.08  1.73  2.23  1613.3  20  2e5  3.78
src5 186.66  32.57  1.08  2.07  2.42  1875.5  20  2e5  0.25
src6 330.75  16.84  0.95  1.81  1.96  2464.5  20  2e5  0.49
src7 162.84  -17.69  0.95  2.10  2.30  1736.4  20  2e5  3.18
src8 336.72  -1.56  0.71  2.03  2.91  2456.1  20  2e5  1.46
src9 146.90  55.08  0.97  1.86  2.25  2267.0  20  2e5  3.37
src10 328.80  -37.18  1.08  2.00  2.49  1362.8  20  2e5  1.12
src11 99.95  -9.91  0.86  1.74  2.65  1696.2  20  2e5  1.55
src12 326.38  19.37  0.98  2.11  2.42  1656.5  20  2e5  4.15
src13 141.48  -27.46  1.11  1.96  2.24  1024.4  20  2e5  4.40
src14 256.47  52.35  1.00  1.97  2.53  2193.1  20  2e5  4.65
src15 314.76  -53.88  1.01  1.76  2.12  1261.5  20  2e5  0.05
src16 315.97  34.84  1.11  1.75  2.32  2180.2  20  2e5  1.74
src17 97.26  -27.78  1.03  1.93  2.59  1984.3  20  2e5  2.92
src18 330.74  -78.19  0.87  1.88  2.55  1450.9  20  2e5  2.45
src19 87.05  54.03  0.95  1.93  2.25  2427.2  20  2e5  4.02
src20 98.77  -24.64  1.01  2.21  2.55  2470.2  20  2e5  2.61
