Name   Ra   	Dec	l	b	F>100MeV	P	Pdot	P2dot	Epoch(MJD)	phi0 
PSRTEST0	27.152	-36.11	0	0	9e-07	0.003	1e-08	1e-22	51900	0.47	
PSRTEST1	90.459	-17.736	0	0	9e-07	0.003	1e-08	1e-21	51900	0.85	
PSRTEST2	263.15	-74.071	0	0	9e-07	0.003	1e-08	1e-20	51900	0.31	
PSRTEST3	296.35	29.387	0	0	9e-07	0.003	1e-08	1e-19	51900	0.64	
PSRTEST4	120.69	35.772	0	0	9e-07	0.003	1e-08	1e-18	51900	0.71	
PSRTEST5	321.96	-48.039	0	0	9e-07	0.003	1e-09	1e-22	51900	0.23	
PSRTEST6	85.88	59.265	0	0	9e-07	0.003	1e-09	1e-21	51900	0.36	
PSRTEST7	263.2	-26.823	0	0	9e-07	0.003	1e-09	1e-20	51900	0.15	
PSRTEST8	198.73	65.429	0	0	9e-07	0.003	1e-09	1e-19	51900	0.74	
PSRTEST9	330.08	-65.044	0	0	9e-07	0.003	1e-09	1e-18	51900	0.088	
PSRTEST10	119.02	-75.597	0	0	9e-07	0.003	1e-10	1e-22	51900	0.81	
PSRTEST11	304.67	-52.704	0	0	9e-07	0.003	1e-10	1e-21	51900	0.11	
PSRTEST12	310.29	25.331	0	0	9e-07	0.003	1e-10	1e-20	51900	0.59	
PSRTEST13	282.01	-7.4701	0	0	9e-07	0.003	1e-10	1e-19	51900	0.11	
PSRTEST14	124.41	-24.575	0	0	9e-07	0.003	1e-10	1e-18	51900	0.61	
PSRTEST15	94.72	51.589	0	0	9e-07	0.003	1e-11	1e-22	51900	0.13	
PSRTEST16	147.94	75.336	0	0	9e-07	0.003	1e-11	1e-21	51900	0.26	
PSRTEST17	202.69	-58.608	0	0	9e-07	0.003	1e-11	1e-20	51900	0.59	
PSRTEST18	98.329	-61.364	0	0	9e-07	0.003	1e-11	1e-19	51900	0.15	
PSRTEST19	306.79	28.259	0	0	9e-07	0.003	1e-11	1e-18	51900	0.12	
PSRTEST20	131.87	-35.406	0	0	9e-07	0.003	1e-12	1e-22	51900	0.52	
PSRTEST21	340.91	-38.206	0	0	9e-07	0.003	1e-12	1e-21	51900	0.36	
PSRTEST22	186.99	-66.384	0	0	9e-07	0.003	1e-12	1e-20	51900	0.87	
PSRTEST23	309.53	-73.066	0	0	9e-07	0.003	1e-12	1e-19	51900	0.021	
